Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Number Of Days for Delivery (product.metafields.custom.number_of_days_for_delivery),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Animal type (product.metafields.shopify.animal-type),Aquarium filter features (product.metafields.shopify.aquarium-filter-features),Color (product.metafields.shopify.color-pattern),Fish type (product.metafields.shopify.fish-type),Package type (product.metafields.shopify.package-type),Pet food flavor (product.metafields.shopify.pet-food-flavor),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Plant characteristics (product.metafields.shopify.plant-characteristics),Plant class (product.metafields.shopify.plant-class),Plant name (product.metafields.shopify.plant-name),Power source (product.metafields.shopify.power-source),Suitable for fish type (product.metafields.shopify.suitable-for-fish-type),Suitable for water type (product.metafields.shopify.suitable-for-water-type),Suitable space (product.metafields.shopify.suitable-space),Sunlight (product.metafields.shopify.sunlight),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,t,group
spotted-blue-eye-rainbowfish-xxl-male-only,Spotted Blue Eye Rainbowfish XXL (Male Only),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">This blue eye dwarf rainbowfish species is a beautiful, outgoing, hardy, and all-around superb addition to the nano or planted aquarium!</strong></p>
<p style=""text-align: left;"" data-mce-fragment=""1"">The Gertrude’s Spotted Blue Eye Rainbowfish, (<em data-mce-fragment=""1"">Pseudomugil gertrudae</em>) is one of the lesser widespread variants of the Blue Eye Rainbowfish and is native to Indonesia, New Guiniea, and Australia.  It lives in very large schools in areas with dense vegetation, so it is an ideal candidate for the planted aquarium and especially enjoys the cover of floating plants.  Males display iridescent yellow and blue coloration on their bodies and fins, particularly while competing with other males. The second dorsal and anal fins of males  become very extended and fan-like with maturity.  Females are typically smaller and often possess an attractive orange-yellow hue. </p>
<p style=""text-align: left;"" data-mce-fragment=""1"">The Gertrude’s Spotted Blue Eye Rainbowfish is peaceful with other fish species of similar size and can even be kept with adult dwarf shrimp.  The most intense color will be displayed when this fish is kept in schools of 6 or more, including multiple males, in a heavily planted, spacious aquarium to ensure that subdominant males are not overly harassed by dominant males.  As with many rainbowfish, darker substrate will also often result in better coloration. </p>
<p style=""text-align: left;"" data-mce-fragment=""1"">While this fish will easily accept high quality flake foods, it should also be fed plenty of small frozen or live meaty foods for optimal health and coloration.  The Gertrude’s Spotted Blue Eye Rainbowfish is a timid fish, so it can easily be out-competed for food by more aggressive eaters, so care must be taken to ensure that it gets its share of food.</p>
<p style=""text-align: left;"" data-mce-fragment=""1"">The entire family of rainbowfish is popular in freshwater aquaria due to the generally peaceful disposition, hardiness, and beautiful coloration of its members.  While many popular rainbowfish species eventually become too large to be kept with dwarf shrimp and some other nano species, the Gertrude’s Spotted Blue Eye Rainbowfish is one of a few exceptions.  Fully grown rainbowfish of this species are typically safe to keep even with adult dwarf shrimp and virtually all non-aggressive invertebrates that we offer. </p>
<p style=""text-align: left;"" data-mce-fragment=""1""> </p>
<div style=""text-align: left;"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div style=""text-align: left;"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div style=""text-align: left;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">What We Like About This Fish:</strong></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Active, schooling community fish that thrives in planted aquariums</li>
<li data-mce-fragment=""1"">Compatible with most invertebrates, including dwarf shrimp</li>
<li data-mce-fragment=""1"">Adults (especially males) display colorful, ornate finnage</li>
<li data-mce-fragment=""1"">Among the smallest of the Blue Eye Rainbowfish</li>
</ul>
</div>
<div style=""text-align: left;"" data-mce-fragment=""1""><strong data-mce-fragment=""1""> </strong></div>
<div style=""text-align: left;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">RECOMMENDED TANK PARAMETERS:</strong></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Temperature</span>:  72° - 82° F (22° - 28° C)</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">pH</span>:  4.5 - 7.5</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">KH</span>:  12 - 15 dKH</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Minimum tank size</span>:  10 gallons</li>
</ul>
</div>
<div style=""text-align: left;"" data-mce-fragment=""1""><strong data-mce-fragment=""1""> </strong></div>
<div style=""text-align: left;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">CARE GUIDELINES: </strong></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Diet</span>:  Omnivorous.  High quality dry foods will be accepted, but should be supplemented often with small, meaty frozen and live foods.</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Social behavior</span>:  Schooling/shoaling, and should be kept in as large of groups as possible.  Peaceful with most other comparably sized fish but is timid and can be outcompeted for food.  Usually compatible with adult dwarf shrimp and other invertebrates.</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Origin</span>:  Tank-Bred, but indigenous to Indonesia, New Guinea, Northern Australia</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Average adult size</span>:  1.2 - 1.5 inches (3 - 3.8 cm)</li>
<li data-mce-fragment=""1"">
<span style=""text-decoration: underline;"" data-mce-fragment=""1"">Average purchase size</span>:  .5 - 1 inch (1.2 - 2.5 cm)</li>
</ul>
</div>",Best4Pets,Uncategorized,,"Exclusive fish, freshwater fish, planted aquarium fish, rainbowfish",true,Title,Default Title,,,,,,,,,900.0,shopify,43,deny,manual,475.00,555.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/products/gerthrudaerainbowfish.best4pets.in.jpg?v=1783356459,1,Pseudomugil gertrudae – Spotted Blue-eye,false,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,kg,,220.00,true,,,active,spotted blue eye rainbowfish xxl (male only),Rainbowfish
lavender-white-ranchu-4inch-import,Lavender White Ranchu 4inch (Import),,Best4Pets,,,"Exclusive fish, freshwater fish, goldfish",true,Title,Default Title,,,,,,,,,8000.0,shopify,7,deny,manual,4600.00,4900.00,true,false,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1700.00,true,,,active,lavender white ranchu 4inch (import),Goldfish
tancho-ranchu-3inch-import,Tancho Ranchu 3inch (Import),"<p>A Tancho Ranchu is a highly sought-after variety of fancy goldfish distinguished by a brilliant, well-defined red marking (or ""cap"") on its forehead against an otherwise entirely white body. ""Tancho"" describes this specific red-cap coloration, while ""Ranchu"" refers to their egg-shaped, dorsal finless body type.</p>",Best4Pets,,,"Exclusive fish, freshwater fish, goldfish",true,Title,Default Title,,,,,,,,,8000.0,shopify,4,deny,manual,4500.00,4750.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/rn-image_picker_lib_temp_67877ba8-3f0f-496b-b38c-b84bf28db331.jpg?v=1782189314,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1700.00,true,,,active,tancho ranchu 3inch (import),Goldfish
red-tail-penguin-tetra-pair,Red Tail Penguin Tetra (Pair),,Best4Pets,Uncategorized,,"Exclusive fish, freshwater fish, planted aquarium fish, tetra",true,Title,Default Title,,,,,,,,,3000.0,shopify,21,deny,manual,2600.00,3900.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/rn-image_picker_lib_temp_5fb885e4-e361-432d-b9d3-fef983d46674.jpg?v=1782137122,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,red tail penguin tetra (pair),Tetra/Characin
calico-pingpong-pearlscale-import-4,"Calico PingPong Pearlscale (Import) 4""+",,Best4Pets,,,"Exclusive fish, freshwater fish, goldfish",true,Title,Default Title,,,,,,,,,8000.0,shopify,6,deny,manual,4500.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/rn-image_picker_lib_temp_300a0c03-e89f-4233-84c4-496102894927.jpg?v=1782136709,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,"calico pingpong pearlscale (import) 4""+",Goldfish
red-white-pingpong-pearlscale-import-4,"Red White PingPong Pearlscale (Import) 4""+",,Best4Pets,,,"Exclusive fish, freshwater fish, goldfish",true,Title,Default Title,,,,,,,,,8000.0,shopify,0,deny,manual,4500.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/rn-image_picker_lib_temp_0e3485d7-2d34-436e-83e4-4f8f61c50605.jpg?v=1782136617,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,"red white pingpong pearlscale (import) 4""+",Goldfish
red-cap-oranda-goldfish-small-pair,Red Cap Oranda Goldfish small (Pair),"<p data-mce-fragment=""1"">The Red Cap Oranda Goldfish (<em data-mce-fragment=""1"">Carassius auratus auratus</em>) is a beautiful white with a red cap colour variant of the classic oranda group of fancy goldfish. Like other orandas, it displays a double tail and, hood red on its entire head. In addition to its white red color, it sometimes also has patches of shining gold (not orange) on its body, although this gold coloration often disappears or recedes as the fish reaches maturity.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">A generally peaceful and hardy species, The Red Cap Oranda Goldfish is an excellent, undemanding candidate for coldwater, goldfish-centric aquariums. Though it is very hardy, it requires a spacious tank with very clean water, powerful filtration, and frequent water changes. Debris can collect in the fleshy wen hood of orandas, sometimes causing disease, so it is especially important to maintain extra clean water for such goldfish varieties. This fish is not particularly fussy about pH or hardness as long as its aquarium is well-maintained and stable. Like all goldfish, orandas are not schooling fish per se, but they are very social and appreciate the company of other goldfish.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">The Red Cap Oranda constantly searches for food at all levels of the aquarium. It will uproot and pick at plants, so it is not a good candidate for the heavily planted aquarium. Any plants kept with it must be relatively rigid and able to withstand the oranda’s constant grazing. The Red Cap Oranda Goldfish will also pick at anything else that it might consider potential food, so it should not be kept with most invertebrates. In fact, there are very few non-goldfish species that make good tank mates for goldfish due to the feeding habits and exceptionally high waste production of all goldfish.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Feeding is very simple for the omnivorous Red Cap Oranda Goldfish. However, protein content should only make up about one-third of its diet. It should be fed a varied diet of high-quality dry foods that are specifically designed for goldfish, and it will also appreciate some fresh vegetable matter. Care must be taken not to over feed goldfish since they will eat any and all food that is present, even to the point of internal injury.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">What We Like About This Fish:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Peaceful and hardy addition to goldfish tanks and some ponds, though they cannot tolerate the extreme cold conditions that some other goldfish varieties can inhabit</li>
<li data-mce-fragment=""1"">Beautiful Red Cap Oranda variant of the classic oranda</li>
<li data-mce-fragment=""1"">Very active</li>
<li data-mce-fragment=""1"">Unique appearance as well as plenty of personality.</li>
</ul>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">CARE GUIDELINES:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Diet: Omnivorous, should be fed relatively low-protein foods designed specifically for goldfish</li>
<li data-mce-fragment=""1"">Social behaviour: Social with other goldfish</li>
<li data-mce-fragment=""1"">Origin: Tank-raised, but indigenous to East Asia.</li>
<li data-mce-fragment=""1"">Average adult size: 7 inches (17.8 cm) or larger</li>
<li data-mce-fragment=""1"">Average purchase size: 3+ inches (7.6+ cm) </li>
</ul>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">RECOMMENDED TANK PARAMETERS: </strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">pH level range: 6.0 – 8.0 (flexible as long as sudden changes are avoided.)</li>
<li data-mce-fragment=""1"">Temperature range: 65° - 72° F (18° - 22° C)</li>
<li data-mce-fragment=""1"">KH: 5 - 19 dKH</li>
<li data-mce-fragment=""1"">Minimum tank size: 30+ gallons for a juvenile or subadult, though larger tanks are much more optimal. This fish should be given the largest tank with best filtration possible.</li>
</ul>",Best4Pets,Uncategorized,,"Exclusive fish, freshwater fish, goldfish",true,Title,Default Title,,,,,,,,,3000.0,shopify,11,deny,manual,260.00,250.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/red.cap.oranda.best4pets.in.webp?v=1705380726,1,,false,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,red cap oranda goldfish small (pair),Goldfish
apistogramma-macmasteri-pair,Apistogramma Macmasteri (Pair),"<p>The Red Shoulder Dwarf Cichlid (Apistogramma macmasteri) is a stunning species with brilliant red coloration on its shoulders and a dynamic, peaceful personality. This tank-bred variety is an excellent choice for aquarists who want a vibrant, low-maintenance dwarf cichlid that thrives in community or species-specific setups. These fish are well-suited to aquascaped tanks with natural decor and offer fascinating behavior, especially during breeding. (we try our absolute best to send a true males and females, but due to the nature of Apistogrammas we can't fully guarantee the genders)</p>
<p> </p>
<p>What We Love About This Fish:</p>
<p>• Striking Red Markings: Eye-catching red coloration across the shoulder area and upper body.</p>
<p>• Peaceful and Social: Ideal for community tanks with similarly peaceful tankmates.</p>
<p>• Easy to Care For: Hardy and adaptable to a wide range of water conditions.</p>
<p>• Active Behavior: Engages in interesting displays and interactions, particularly in pairs or harems.</p>
<p> </p>
<p>Natural Habitat:</p>
<p>The Red Shoulder Dwarf Cichlid is native to slow-moving streams and tributaries in Colombia and Venezuela, part of the Orinoco River Basin. These waters are typically soft, slightly acidic, and shaded by overhanging vegetation, creating a calm, dimly lit environment with sandy or muddy substrates and plenty of leaf litter.</p>
<p> </p>
<p>Breeding:</p>
<p>Breeding the Red Shoulder Dwarf Cichlid is straightforward in a well-prepared setup:</p>
<p> </p>
<p>Provide soft, slightly acidic water (pH 6.0-7.0).</p>
<p>Offer small structures like Ceramic Dwarf Cichlid Breeding Huts, caves, or coconut shells for the female to lay eggs. These structures mimic their natural hiding spots and create a secure environment for spawning.</p>
<p>Males display vivid coloration during courtship to attract females.</p>
<p>After spawning, the female typically guards the eggs while the male protects the surrounding territory.</p>
<p>Fry can be fed freshly hatched brine shrimp or powdered fry food once they become free-swimming.</p>
<p>Recommended Tank Parameters:</p>
<p>• Temperature: 75° - 82°F (24° - 28°C)</p>
<p>• pH: 6.0 - 7.5</p>
<p>• KH: 1 - 6</p>
<p>• Minimum Tank Size: 20 gallons</p>
<p> </p>
<p>Care Guidelines:</p>
<p>• Diet: Feed a varied diet of live, frozen, and prepared foods to maintain health and coloration.</p>
<p>• Social Behavior: Best kept in pairs or harems (1 male, multiple females). Males can be territorial with other males in smaller tanks.</p>
<p>• Origin: Tank-bred by professional breeders, ensuring adaptability to home aquariums.</p>
<p>• Average Adult Size: 2.5 - 3 inches (6.5 - 7.5 cm)</p>
<p>• Average Purchase Size: 1.5 - 2 inches (4 - 5 cm)</p>
<p> </p>",Best4Pets,,,"apisto, apistogramma, Exclusive fish, freshwater fish, planted aquarium fish",true,Title,Default Title,,,,,,,,,3000.0,shopify,1,deny,manual,4500.00,4850.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/rn-image_picker_lib_temp_1c480bc1-062a-48ba-8626-a3ed888e11a5.jpg?v=1780908549,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,apistogramma macmasteri (pair),Dwarf Cichlid (Apisto/Ram)
bi-colour-mbuna-2,"Bi Colour Mbuna 2""","<div class=""data-view__item overview"" role=""tablist"" id=""overview"" data-mce-fragment=""1"">
<div class=""data-view__content"" data-role=""content"" role=""tabpanel"" aria-hidden=""true"" aria-labelledby=""section_overview"" style=""display: none;"" data-mce-fragment=""1"" data-mce-style=""display: none;"">
<table class=""data-view__table"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Synonyms</td>
<td data-mce-fragment=""1"">None</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Distribution</td>
<td data-mce-fragment=""1"">Rocky shores throughout Lake Malawi, Africa.</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Maximum Size</td>
<td data-mce-fragment=""1"">15cm (5.9"")</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Temperature</td>
<td data-mce-fragment=""1"">21-24°C</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Water Parameters</td>
<td data-mce-fragment=""1"">Hard, alkaline water essential. pH: 7.5-8.5, dH: up to 20 degrees.</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Compatibility</td>
<td data-mce-fragment=""1"">Malawi cichlid community</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Lighting</td>
<td data-mce-fragment=""1"">No special requirements</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Special Requirements</td>
<td data-mce-fragment=""1"">Malawi cichlid tank only.</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Sexual Dimorphism</td>
<td data-mce-fragment=""1"">Mature males usually show a good number of egg-spots; however colouration/markings vary depending on location making sexing tricky.</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Feeding</td>
<td data-mce-fragment=""1"">Spirulina flake, cichlid pellets and frozen foods Spirulina flake, cichlid pellets and frozen foods</td>
</tr>
</tbody>
</table>
</div>
</div>
<div class=""data-view__item care"" role=""tablist"" id=""care"" data-mce-fragment=""1"">
<table class=""data-view__table"">
<tbody>
<tr>
<td style=""width: 105.433px;"">Synonyms</td>
<td style=""width: 443.567px;"">None</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Distribution</td>
<td style=""width: 443.567px;"">Rocky shores throughout Lake Malawi, Africa.</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Maximum Size</td>
<td style=""width: 443.567px;"">15cm (5.9"")</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Temperature</td>
<td style=""width: 443.567px;"">21-24°C</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Water Parameters</td>
<td style=""width: 443.567px;"">Hard, alkaline water essential. pH: 7.5-8.5, dH: up to 20 degrees.</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Compatibility</td>
<td style=""width: 443.567px;"">Malawi cichlid community</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Lighting</td>
<td style=""width: 443.567px;"">No special requirements</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Special Requirements</td>
<td style=""width: 443.567px;"">Malawi cichlid tank only.</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Sexual Dimorphism</td>
<td style=""width: 443.567px;"">Mature males usually show a good number of egg-spots; however colouration/markings vary depending on location making sexing tricky.</td>
</tr>
<tr>
<td style=""width: 105.433px;"">Feeding</td>
<td style=""width: 443.567px;"">Spirulina flake, cichlid pellets and frozen foods Spirulina flake, cichlid pellets and frozen foods</td>
</tr>
</tbody>
</table>
<div class=""data-view__content"" data-role=""content"" role=""tabpanel"" aria-hidden=""true"" aria-labelledby=""section_description"" style=""display: none;"" data-mce-fragment=""1"" data-mce-style=""display: none;"">
<div data-mce-fragment=""1"">
<h2 id=""section_care"" data-mce-fragment=""1"">Care</h2>
<em data-mce-fragment=""1"">Labeotropheus trewavasae</em>, a member of the Mbuna group of cichlids, possess a distinct mouth shape with ""folded over"" upper lip. Chisel-like teeth can be found underneath and it is these specialized mouth parts that allow the fish to graze efficiently on the algae that covers the rocky habitat, for the Aufwuchs it contains. As the fish work the biocover, ""scrape marks"" are often visible. The colouration/markings of this species will vary upon location in the lake - numerous strains are known and are usually named after the island near which they are found. The aquarium should be at least 4ft long and aquascaped to emulate a rocky reef effect. Lighting should be bright to encourage algal growth. DÃ©cor such as ocean rock can be used to build sturdy structures which stretch from the base of the tank to near the surface of the water. These structures should be built with the purpose of creating many crevices for the fish to explore but constructed in such a way so as to keep the rocks stable if the fish start to undermine them with their digging habits.</div>
</div>
</div>",Best4Pets,Uncategorized,,"cichlid, Exclusive fish, freshwater fish, malawi, sale",true,Title,Default Title,,,,,,,,,1000.0,shopify,13,deny,manual,300.00,525.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/files/ob.trevasse.best4pets.in.jpg?v=1781464451,1,,false,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,"bi colour mbuna 2""",African Rift Cichlid (Malawi)
albino-oscar-cichlid-4-5,"Albino Oscar Cichlid 4.5""","<strong data-mce-fragment=""1"">The Albino Tiger Oscar is a very popular white and red-orange variant of the classic Tiger Oscar, and it shares all of the same wonderful qualities!</strong><span data-mce-fragment=""1""></span>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">The Albino Tiger Oscar (<em data-mce-fragment=""1"">Astronotus ocellatus</em>), also known as the Marble Cichlid or Velvet Cichlid, is a large South American cichlid species that needs little to no introduction. It is one of the most popular and beloved fish in the entire aquarium hobby, and with good reason. It has beautiful markings, is extremely hardy and unfussy in every way, and is easily a centerpiece fish in any large aquarium. It grows to a substantial, but manageable size and is one of the most interactive fish when it comes to paying attention to its keeper.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">The Albino <span data-mce-fragment=""1"">Tiger Oscar</span><span data-mce-fragment=""1""> </span>will thrive in a large aquarium with a sand or gravel substrate and sturdy decor as well as plenty of open swimming space. It does consume some plant matter, so artificial plants are a better choice for decor than live plants (if plants are used at all). Like many cichlids, this species is known to sometimes rearrange decor to its liking, so it is necessary to avoid ""avalanches"" of decorative stones and driftwood. The Albino Tiger Oscar is considerably less aggressive than most other medium and large cichlids, but it does have a voracious appetite and will eat any fish or invertebrate that will fit (or nearly fit) in its mouth. Territoriality is typically at its peak during spawning. Due to the eventual adult size of the Albino <span data-mce-fragment=""1"">Tiger Oscar</span>, it should not be kept with ornamental invertebrates. If spawning is desired, tankmates of other species should be avoided altogether. It should also be noted that the Albino <span data-mce-fragment=""1"">Tiger Oscar</span><span data-mce-fragment=""1""> is typically most peaceful with tankmates when it is grown up with them from juvenile age rather than introduced as an adult. Powerful filtration and regular water changes are necessarry for this large species. <strong data-mce-fragment=""1"">This fish grows to an impressive size rather quickly, so a large aquarium is necessary at an early stage, even when starting with a juvenile.</strong></span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Feeding is simple for the unfussy Albino <span data-mce-fragment=""1"">Tiger Oscar</span>. High-quality dry, frozen, and live meaty foods will all be readily accepted, but some vegetable matter is also necessary and can easily be provided in the form of spirulina-rich dry foods. Quality and variety are the keys to a diet that will ensure that this fish maintains optimal health and coloration. <span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Meat from mammals (such as beefheart) or birds is extremely unhealthy for Oscars and most other fish and should never make up part of the diet.</strong></span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">We are currently offering juvenile specimens of this classic fish.</strong></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">What We Like About This Fish:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Beautiful coloration</li>
<li data-mce-fragment=""1"">Very hardy with plenty of personality</li>
<li data-mce-fragment=""1"">Possible to breed in the aquarium</li>
<li data-mce-fragment=""1"">Classic ornamental species<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Potential to be a ""centerpiece"" fish</li>
</ul>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">RECOMMENDED TANK PARAMETERS:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">Temperature</u>:  68° - 82.4° F (20° - 28° C)</li>
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">pH</u>:  6.0 - 7.5</li>
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">KH</u>:  5 - 20 KH</li>
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">Minimum tank size</u>:  75+ gallons for 1 full-grown adult, 100+ gallons for multiple adults</li>
</ul>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">CARE GUIDELINES:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">Diet</u>:  Omnivorous. A variety of high-quality dry, frozen, and live meaty foods is necessary for optimal health and coloration. Vegetable matter (blanched spinach, shelled peas, spirulina) is also necessary.</li>
<li data-mce-fragment=""1"">
<u data-mce-fragment=""1"">Social behavior</u>:  Congregates loosely in groups as a juvenile. Both males and females can be territorial during spawning.</li>
</ul>
<u><br></u>
<ul data-mce-fragment=""1""></ul>
<u><br></u>
<ul data-mce-fragment=""1""></ul>",Best4Pets,Uncategorized,,"cichlid, freshwater fish, south american",true,Title,Default Title,,,,,,,,,1000.0,shopify,0,deny,manual,425.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0075/9814/5587/products/albinooscar.best4pets.in.jpg?v=1776772202,1,Albino Oscar Cichlid,false,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active,"albino oscar cichlid 4.5""",SA/CA Cichlid (large)
