sku,slug,handle,common,group,family,origin,care,temperament,swim,tank,adult,tempC,ph,hard,diet,social,life,psize,desc,tips,aqa_staple,aqa_treat,feeding_note,hub_url,care_url,shop_url,title
RA-FSH-0001,spotted-blue-eye-rainbowfish,spotted-blue-eye-rainbowfish-xxl-male-only,Spotted Blue Eye Rainbowfish,Rainbowfish,Melanotaeniidae,Australia / New Guinea,Beginner-Intermediate,Peaceful,Middle-Top,50 L,1-1.5 in (2.5-3.75 cm),23-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Shoal of 6 or more,5-8 years,,"Spotted Blue Eye Rainbowfish is an active, peaceful schooling fish whose colours intensify with age and in a group. It prefers neutral-to-hard water and plenty of open swimming space.","Keep 6+ — colour and confidence build in a shoal (and with mature males). | Neutral to slightly alkaline, harder water suits them well. | Give long open swimming lanes; they're fast, active swimmers.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/spotted-blue-eye-rainbowfish,https://care.best4pets.in/fish/spotted-blue-eye-rainbowfish/care/,https://best4pets.in/products/spotted-blue-eye-rainbowfish-xxl-male-only,Spotted Blue Eye Rainbowfish XXL (Male Only)
RA-FSH-0002,lavender-white-ranchu,lavender-white-ranchu-4inch-import,Lavender White Ranchu,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,4 in,"Lavender White Ranchu is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/lavender-white-ranchu,https://care.best4pets.in/fish/lavender-white-ranchu/care/,https://best4pets.in/products/lavender-white-ranchu-4inch-import,Lavender White Ranchu 4inch (Import)
RA-FSH-0003,tancho-ranchu,tancho-ranchu-3inch-import,Tancho Ranchu,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,3 in,"Tancho Ranchu is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/tancho-ranchu,https://care.best4pets.in/fish/tancho-ranchu/care/,https://best4pets.in/products/tancho-ranchu-3inch-import,Tancho Ranchu 3inch (Import)
RA-FSH-0004,red-tail-penguin-tetra,red-tail-penguin-tetra-pair,Red Tail Penguin Tetra,Tetra/Characin,Characidae,South America,Beginner,Peaceful,Middle,75 L,1.5-2.5 in (4-6 cm),22-27°C,5.5-7.5,Soft-Medium (2-15 dGH),Omnivore,Shoal of 6 or more,3-5 years,,"Red Tail Penguin Tetra is a small, active schooling characin that shows its best colour and behaviour in a group. Peaceful and undemanding, it's ideal for planted community aquariums.","Keep in a shoal of at least 6 — lone specimens are shy and washed-out. | Offer a varied diet of quality micro-pellets, flakes and frozen foods. | Best in a planted tank with open swimming space and gentle flow.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/red-tail-penguin-tetra,https://care.best4pets.in/fish/red-tail-penguin-tetra/care/,https://best4pets.in/products/red-tail-penguin-tetra-pair,Red Tail Penguin Tetra (Pair)
RA-FSH-0005,calico-pingpong-pearlscale,calico-pingpong-pearlscale-import-4,Calico PingPong Pearlscale,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,4 in,"Calico PingPong Pearlscale is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/calico-pingpong-pearlscale,https://care.best4pets.in/fish/calico-pingpong-pearlscale/care/,https://best4pets.in/products/calico-pingpong-pearlscale-import-4,"Calico PingPong Pearlscale (Import) 4""+"
RA-FSH-0006,red-white-pingpong-pearlscale,red-white-pingpong-pearlscale-import-4,Red White PingPong Pearlscale,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,4 in,"Red White PingPong Pearlscale is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/red-white-pingpong-pearlscale,https://care.best4pets.in/fish/red-white-pingpong-pearlscale/care/,https://best4pets.in/products/red-white-pingpong-pearlscale-import-4,"Red White PingPong Pearlscale (Import) 4""+"
RA-FSH-0007,red-cap-oranda-goldfish,red-cap-oranda-goldfish-small-pair,Red Cap Oranda Goldfish,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,,"Red Cap Oranda Goldfish is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/red-cap-oranda-goldfish,https://care.best4pets.in/fish/red-cap-oranda-goldfish/care/,https://best4pets.in/products/red-cap-oranda-goldfish-small-pair,Red Cap Oranda Goldfish small (Pair)
RA-FSH-0008,apistogramma-macmasteri,apistogramma-macmasteri-pair,Apistogramma Macmasteri,Dwarf Cichlid (Apisto/Ram),Cichlidae,South America,Intermediate,Peaceful (with care),Bottom-Middle,75-115 L,2-3.5 in (5-9 cm),26-29°C,5.5-7.0,Soft (2-10 dGH),Carnivore/Omnivore,Pairs,2-4 years,,"Apistogramma Macmasteri is a colourful dwarf cichlid best kept as a pair in warm, soft water with caves and territory. Peaceful in a community, but defends a small breeding territory.","Warm, soft, slightly acidic water suits dwarf cichlids best. | Provide caves and broken sight-lines so a pair can hold territory. | Rams (Mikrogeophagus) want the warm end (28-30°C) and stable water.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/apistogramma-macmasteri,https://care.best4pets.in/fish/apistogramma-macmasteri/care/,https://best4pets.in/products/apistogramma-macmasteri-pair,Apistogramma Macmasteri (Pair)
RA-FSH-0009,bi-colour-mbuna,bi-colour-mbuna-2,Bi Colour Mbuna,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2 in,"Bi Colour Mbuna is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/bi-colour-mbuna,https://care.best4pets.in/fish/bi-colour-mbuna/care/,https://best4pets.in/products/bi-colour-mbuna-2,"Bi Colour Mbuna 2"""
RA-FSH-0010,albino-oscar-cichlid,albino-oscar-cichlid-4-5,Albino Oscar Cichlid,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate,Aggressive,All levels,280 L,12-14 in (30-36 cm),23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,4.5 in,"Albino Oscar Cichlid is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/albino-oscar-cichlid,https://care.best4pets.in/fish/albino-oscar-cichlid/care/,https://best4pets.in/products/albino-oscar-cichlid-4-5,"Albino Oscar Cichlid 4.5"""
